TXPART_ID,TXCENTER,TXCEN_NAME,TX_ID,TX_MASS,TX_DATE
1,101,มิตรภาพ 101 ML,ML,2,4/27/2005
1,102,ปากช่อง 102 PC,PC,1,3/29/2005
1,103,พัฒนานิคม 103 PK,PK,1,5/30/2005
1,104,ซับกระดาน 104 SD,SD,1,5/30/2005
1,106,พระพุทธบาท 106 PB,PB,2,3/29/2005
1,107,หนองม่วง 107 NM,NM,2,4/27/2005
1,109,ลำพญากลาง 109 LK,LK,1,11/29/2005
1,110,สวนมะเดื่อ 110 SM,SM,2,4/27/2005
1,111,ขามทะเลสอ 111 KT,KT,1,5/30/2005
1,112,สหกรณ์การเกษตรสีคิ้ว จำกัด  112 SK,SK,2,4/4/2005
1,113,หนองรี 113 NR,NR,2,4/4/2005
1,114,สูงเนิน  114  SG,SG,1,5/30/2005
1,115,หนองย่างเสือ 115 NS,NS,1,3/29/2005
1,118,ซับสนุ่น  118 SS,SS,2,3/29/2005
1,121,สหกรณ์โคนมสีคิ้ว 121 SKD,SK,1,7/20/2009
6,601,ฝูงมาตรฐาน อ.ส.ค. 601 TD,TD,1,5/28/1999
1,777,แผนกข้อมูลและสารสนเทศโคนม 777 DI,DI,1,4/1/2004
1,900,ฟาร์มแม่ 900 MM,MM,1,5/30/2005
1,116,สหกรณ์โคนมสีคิ้ว จำกัด116 SK2,SK,2,10/8/2015
1,199,NON MOU,ML,2,12/19/2016
1,117,สหกรณ์โคนมปักธงชัย จำกัด117 TC,TC,2,1/8/2021
