Column1,Column2,Column3
TO_ID,TO_NAM,TO_T_OR_I
HF,โฮสไตล์พีเชี่ยน,T
RD,เรดเดน,T
BS,บราวน์สวิส,T
JER,เจอร์ซี่,T
RW,ขาว-แดง,T
RS,เรดซินตี้,I
SW,ชาฮิวาล,I
BRA,บราห์มัน,I
AB,อเมริกัน-บราห์มัน,I
IN,อินเดีย,I
ZE,ชีบู,I
NA,พื้นเมือง,I
RAB,อเมริกันบราห์แดง,I
CHA,ชาโรเล่ย์,I
DM,เดราท์มาสเตอร์,I
HR,เฮียฟอร์ด,I
LS,ลิมูขิน,I
SH,ชอดฮอร์น,I
IB,ฮินดูบราซิล,I
SM,ชินเมนทอล,I
AIS,ออสเตรเลียน อิลลาเวร่า ชอตฮอร์น,I
NILL,ไม่ทราบสายพันธุ์,I
BT,ยุโรป,I
BI,อินเดีย,I
AFS,ออสเตรเลียน ฟรีเชี่ยน ซาฮิวาล,I
TMZ,THAI MILKING ZEBU,I
ASH,ไอร์ไชร์,T
SRB,SWEDISH RED,T
MS,มิลล์กิ้ง ชอทฮอนร์,T
WY,วากิว WASHU,I
GL,จิโรล้านโด้,I
GIR,กีร์ GIR GYR,I
